input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	32	encrypt	919	689113331703401b91aac641020d75db38956c3ac9c17ada64bb3c80e341068f	-13.229425641842486	0.037255139028165976
forward	0	forward	standard	33	decrypt	919	a66e1fa2d080fc302cbd9fb02cc977be3672f7d9a5f8dfd76e3a41f5f52e8223	-13.23951090498752	0.03718164813985079
forward	0	forward	standard	33	encrypt	919	599ab5a43a430f17187010491adbcbe43bb53a59c0eb143465a784fca4de4d79	-13.242834619439186	0.03733811261174764
forward	0	forward	standard	34	decrypt	919	d68a7323943ff0dab5ff3192a5d595cf09ed652656eec89094138af7a8f15d6d	-13.242128694586645	0.03678574561247543
forward	0	forward	standard	34	encrypt	919	f751f9b673a738c9e760d6684cc54b5eb3ff864fda1c436a3c782361cb2088da	-13.242834619439185	0.037854919503770554
forward	0	forward	standard	35	decrypt	919	aab6f78ffeb7c8bce56146dd7a1fbee5ee3714898ba46a074c8dd96d4017c880	-13.237130383672183	0.03698014086543818
forward	0	forward	standard	35	encrypt	919	aa8c56a2377de6ec9a70812d7cf471210d95ebce29680518cb4fff920ea3c7f9	-13.227603418213391	0.03704651973230351
forward	0	forward	standard	36	decrypt	919	987ee6b2a6b71f82e99f1dc92f06c932e88f5bd0bde2c28e64824380d0cc14d9	-13.234350160954403	0.03729069913541526
forward	0	forward	standard	36	encrypt	919	fe077e3d9b81a9ada687fb3e0069bb1e128590b8136f0e836ca207c5c501793c	-13.248070198637434	0.037302552504498356
forward	0	forward	standard	37	decrypt	919	d235e03536c5f6b18a6a445f4c314d2dbfea404a56ed5249f24f66a1fecd0c26	-13.243777812575509	0.0371081572515356
forward	0	forward	standard	37	encrypt	919	8814d9e94feb8c869ae807dfdd010a2b3ba979d5b12d785f53ede2d21a2c3be3	-13.229039746591024	0.03754199055997686
forward	0	forward	standard	38	decrypt	919	8cf1e31017a0aa1a6993ee5e33b671a858a44ac4faaf78e3657be1520f65b3c5	-13.232674521129013	0.03670988405034363
forward	0	forward	standard	38	encrypt	919	7bfb1beb9ed4c6a96bf7ef1b9723cc3b0d3328a8eacc3ec52e2f35fe6044b409	-13.242834619439185	0.037539619886160246
forward	0	forward	standard	39	decrypt	919	7c04ac94964cf9149d17cc9599e8df2a62588224ef5c185a3bd72ee62345d542	-13.244746484185772	0.037025183667953945
forward	0	forward	standard	39	encrypt	919	6220a3df341f882b47b985e20838ecd1f0526f45499013b596dd51f01a90a7e9	-13.245452409038311	0.03735707800228059
forward	0	forward	standard	40	decrypt	919	ef9a8e8d08e4e54bb8005ae82ebf01ea4ce8f5ecb189f070de07b5383189aa40	-13.245452409038311	0.03688531391277343
forward	0	forward	standard	40	encrypt	919	f098e598b0a48a5d076519dfb2dfbe2845a8581064cc3abb864f8d2057bf3a0c	-13.234488115400506	0.036698030681260534
forward	0	forward	standard	41	decrypt	919	ee4a75b3de7e999a108a7630a798ca5f22128b51b8700a05587a1e66dd90e975	-13.23052643146123	0.03698014086543818
forward	0	forward	standard	41	encrypt	919	8f436b3b94437c43ea8f7afb888b96b27c03372ebc95ebfe0ee102bd14f98772	-13.229039746591024	0.037314405873581445
forward	0	forward	standard	42	decrypt	919	0200e044405703a80b804849550cac42f806961f27e386f90e0efacda8ec3d8b	-13.242834619439185	0.037003847603604374
